carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2019-05-01T00:28:18,2019-05-01T00:29:27+08:00,151,48
J85M,2019-05-01T00:28:13,2019-05-01T00:29:27+08:00,217,216
J72,2019-05-01T00:28:10,2019-05-01T00:29:27+08:00,255,43
J69,2019-05-01T00:28:17,2019-05-01T00:29:27+08:00,222,222
JM31,2019-05-01T00:28:19,2019-05-01T00:29:27+08:00,180,143
J62M,2019-05-01T00:27:46,2019-05-01T00:29:27+08:00,222,79
J63,2019-05-01T00:27:45,2019-05-01T00:29:27+08:00,153,3
J83M,2019-05-01T00:26:56,2019-05-01T00:29:27+08:00,163,162
J67,2019-05-01T00:28:02,2019-05-01T00:29:27+08:00,156,86
JM2,2019-05-01T00:27:17,2019-05-01T00:29:27+08:00,300,0
J70,2019-05-01T01:28:18,2019-05-01T01:29:27+08:00,151,48
J85M,2019-05-01T01:28:14,2019-05-01T01:29:27+08:00,217,217
J72,2019-05-01T01:29:12,2019-05-01T01:29:27+08:00,255,29
J69,2019-05-01T01:29:04,2019-05-01T01:29:27+08:00,222,0
JM31,2019-05-01T01:28:19,2019-05-01T01:29:27+08:00,180,142
J62M,2019-05-01T01:28:47,2019-05-01T01:29:27+08:00,222,76
J63,2019-05-01T01:28:46,2019-05-01T01:29:27+08:00,153,4
J83M,2019-05-01T01:28:27,2019-05-01T01:29:27+08:00,163,163
J67,2019-05-01T01:29:03,2019-05-01T01:29:27+08:00,156,99
JM2,2019-05-01T01:28:50,2019-05-01T01:29:27+08:00,300,0
J70,2019-05-01T02:26:49,2019-05-01T02:29:27+08:00,151,45
J85M,2019-05-01T02:26:44,2019-05-01T02:29:27+08:00,217,216
J72,2019-05-01T02:27:44,2019-05-01T02:29:27+08:00,255,30
J69,2019-05-01T02:27:50,2019-05-01T02:29:27+08:00,222,222
JM31,2019-05-01T02:26:50,2019-05-01T02:29:27+08:00,180,143
J62M,2019-05-01T02:27:47,2019-05-01T02:29:27+08:00,222,76
J63,2019-05-01T02:27:47,2019-05-01T02:29:27+08:00,153,0
J83M,2019-05-01T02:26:57,2019-05-01T02:29:27+08:00,163,162
J67,2019-05-01T02:27:04,2019-05-01T02:29:27+08:00,156,102
JM2,2019-05-01T02:28:47,2019-05-01T02:29:27+08:00,300,0
J70,2019-05-01T03:28:07,2019-05-01T03:29:27+08:00,151,37
J85M,2019-05-01T03:28:01,2019-05-01T03:29:27+08:00,217,216
J72,2019-05-01T03:28:35,2019-05-01T03:29:27+08:00,255,28
J69,2019-05-01T03:28:52,2019-05-01T03:29:27+08:00,222,222
JM31,2019-05-01T03:28:15,2019-05-01T03:29:27+08:00,180,145
J62M,2019-05-01T03:28:25,2019-05-01T03:29:27+08:00,222,75
J63,2019-05-01T03:28:25,2019-05-01T03:29:27+08:00,153,0
J83M,2019-05-01T03:28:14,2019-05-01T03:29:27+08:00,163,162
J67,2019-05-01T03:28:42,2019-05-01T03:29:27+08:00,156,95
JM2,2019-05-01T03:27:47,2019-05-01T03:29:27+08:00,300,0
J70,2019-05-01T04:26:38,2019-05-01T04:29:27+08:00,151,39
J85M,2019-05-01T04:26:32,2019-05-01T04:29:27+08:00,217,217
J72,2019-05-01T04:27:37,2019-05-01T04:29:27+08:00,255,33
J69,2019-05-01T04:27:23,2019-05-01T04:29:27+08:00,222,222
JM31,2019-05-01T04:26:45,2019-05-01T04:29:27+08:00,180,144
J62M,2019-05-01T04:27:26,2019-05-01T04:29:27+08:00,222,74
J63,2019-05-01T04:27:26,2019-05-01T04:29:27+08:00,153,0
J83M,2019-05-01T04:26:45,2019-05-01T04:29:27+08:00,163,163
J67,2019-05-01T04:26:43,2019-05-01T04:29:27+08:00,156,97
JM2,2019-05-01T04:28:18,2019-05-01T04:29:27+08:00,300,0
J70,2019-05-01T05:28:08,2019-05-01T05:29:27+08:00,151,36
J85M,2019-05-01T05:28:02,2019-05-01T05:29:27+08:00,217,216
J72,2019-05-01T05:28:09,2019-05-01T05:29:27+08:00,255,32
J69,2019-05-01T05:28:25,2019-05-01T05:29:27+08:00,222,222
JM31,2019-05-01T05:28:16,2019-05-01T05:29:27+08:00,180,142
J62M,2019-05-01T05:28:27,2019-05-01T05:29:27+08:00,222,74
J63,2019-05-01T05:28:26,2019-05-01T05:29:27+08:00,153,0
J83M,2019-05-01T05:28:15,2019-05-01T05:29:27+08:00,163,163
J67,2019-05-01T05:27:44,2019-05-01T05:29:27+08:00,156,85
JM2,2019-05-01T05:29:15,2019-05-01T05:29:27+08:00,300,0
J70,2019-05-01T06:26:39,2019-05-01T06:29:27+08:00,151,36
J85M,2019-05-01T06:26:33,2019-05-01T06:29:27+08:00,217,217
J72,2019-05-01T06:27:11,2019-05-01T06:29:27+08:00,255,38
J69,2019-05-01T06:26:57,2019-05-01T06:29:27+08:00,222,222
JM31,2019-05-01T06:26:46,2019-05-01T06:29:27+08:00,180,143
J62M,2019-05-01T06:26:28,2019-05-01T06:29:27+08:00,222,74
J63,2019-05-01T06:26:27,2019-05-01T06:29:27+08:00,153,0
J83M,2019-05-01T06:26:46,2019-05-01T06:29:27+08:00,163,163
J67,2019-05-01T06:26:45,2019-05-01T06:29:27+08:00,156,85
JM2,2019-05-01T06:28:46,2019-05-01T06:29:27+08:00,300,0
J70,2019-05-01T07:28:09,2019-05-01T07:29:27+08:00,151,35
J85M,2019-05-01T07:28:03,2019-05-01T07:29:27+08:00,217,217
J72,2019-05-01T07:28:12,2019-05-01T07:29:27+08:00,255,59
J69,2019-05-01T07:27:58,2019-05-01T07:29:27+08:00,222,222
JM31,2019-05-01T07:26:46,2019-05-01T07:29:27+08:00,180,145
J62M,2019-05-01T07:27:28,2019-05-01T07:29:27+08:00,222,73
J63,2019-05-01T07:27:28,2019-05-01T07:29:27+08:00,153,0
J83M,2019-05-01T07:26:46,2019-05-01T07:29:27+08:00,163,163
J67,2019-05-01T07:27:46,2019-05-01T07:29:27+08:00,156,85
JM2,2019-05-01T07:28:48,2019-05-01T07:29:27+08:00,300,0
J70,2019-05-01T08:28:10,2019-05-01T08:29:27+08:00,151,32
J85M,2019-05-01T08:28:04,2019-05-01T08:29:27+08:00,217,217
J72,2019-05-01T08:28:44,2019-05-01T08:29:27+08:00,255,74
J69,2019-05-01T08:29:00,2019-05-01T08:29:27+08:00,222,222
JM31,2019-05-01T08:28:17,2019-05-01T08:29:27+08:00,180,138
J62M,2019-05-01T08:28:29,2019-05-01T08:29:27+08:00,222,74
J63,2019-05-01T08:28:29,2019-05-01T08:29:27+08:00,153,5
J83M,2019-05-01T08:28:17,2019-05-01T08:29:27+08:00,163,163
J67,2019-05-01T08:28:47,2019-05-01T08:29:27+08:00,156,85
JM2,2019-05-01T08:27:19,2019-05-01T08:29:27+08:00,300,0
J70,2019-05-01T09:26:40,2019-05-01T09:29:27+08:00,151,47
J85M,2019-05-01T09:26:34,2019-05-01T09:29:27+08:00,217,216
J72,2019-05-01T09:27:46,2019-05-01T09:29:27+08:00,255,80
J69,2019-05-01T09:27:49,2019-05-01T09:29:27+08:00,222,16
JM31,2019-05-01T09:26:47,2019-05-01T09:29:27+08:00,180,127
J62M,2019-05-01T09:27:30,2019-05-01T09:29:27+08:00,222,80
J63,2019-05-01T09:27:30,2019-05-01T09:29:27+08:00,153,17
J83M,2019-05-01T09:26:47,2019-05-01T09:29:27+08:00,163,162
J67,2019-05-01T09:27:48,2019-05-01T09:29:27+08:00,156,81
JM2,2019-05-01T09:28:21,2019-05-01T09:29:27+08:00,300,0
J70,2019-05-01T10:28:11,2019-05-01T10:29:27+08:00,151,50
J85M,2019-05-01T10:28:05,2019-05-01T10:29:27+08:00,217,216
J72,2019-05-01T10:28:18,2019-05-01T10:29:27+08:00,255,94
J69,2019-05-01T10:28:33,2019-05-01T10:29:27+08:00,222,222
JM31,2019-05-01T10:28:18,2019-05-01T10:29:27+08:00,180,140
J62M,2019-05-01T10:28:31,2019-05-01T10:29:27+08:00,222,81
J63,2019-05-01T10:28:30,2019-05-01T10:29:27+08:00,153,35
J83M,2019-05-01T10:28:18,2019-05-01T10:29:27+08:00,163,163
J67,2019-05-01T10:27:49,2019-05-01T10:29:27+08:00,156,65
JM2,2019-05-01T10:27:51,2019-05-01T10:29:27+08:00,300,0
J70,2019-05-01T11:26:42,2019-05-01T11:29:27+08:00,151,50
J85M,2019-05-01T11:26:35,2019-05-01T11:29:27+08:00,217,217
J72,2019-05-01T11:27:20,2019-05-01T11:29:27+08:00,255,101
J69,2019-05-01T11:27:05,2019-05-01T11:29:27+08:00,222,222
JM31,2019-05-01T11:26:48,2019-05-01T11:29:27+08:00,180,128
J62M,2019-05-01T11:26:32,2019-05-01T11:29:27+08:00,222,79
J63,2019-05-01T11:26:31,2019-05-01T11:29:27+08:00,153,33
J83M,2019-05-01T11:26:48,2019-05-01T11:29:27+08:00,163,163
J67,2019-05-01T11:26:50,2019-05-01T11:29:27+08:00,156,70
JM2,2019-05-01T11:27:57,2019-05-01T11:29:27+08:00,300,0
J70,2019-05-01T12:28:12,2019-05-01T12:29:27+08:00,151,60
J85M,2019-05-01T12:28:06,2019-05-01T12:29:27+08:00,217,216
J72,2019-05-01T12:28:21,2019-05-01T12:29:27+08:00,255,84
J69,2019-05-01T12:28:07,2019-05-01T12:29:27+08:00,222,222
JM31,2019-05-01T12:28:18,2019-05-01T12:29:27+08:00,180,126
J62M,2019-05-01T12:27:32,2019-05-01T12:29:27+08:00,222,87
J63,2019-05-01T12:27:32,2019-05-01T12:29:27+08:00,153,36
J83M,2019-05-01T12:28:19,2019-05-01T12:29:27+08:00,163,162
J67,2019-05-01T12:27:50,2019-05-01T12:29:27+08:00,156,78
JM2,2019-05-01T12:22:30,2019-05-01T12:29:27+08:00,300,0
J70,2019-05-01T13:28:13,2019-05-01T13:29:27+08:00,151,64
J85M,2019-05-01T13:28:06,2019-05-01T13:29:27+08:00,217,216
J72,2019-05-01T13:28:53,2019-05-01T13:29:27+08:00,255,96
J69,2019-05-01T13:29:08,2019-05-01T13:29:27+08:00,222,222
